상품번호		친환경 인증 종류	변경 친환경인증 번호	인증 유효 기간	판매업체
10049527	0	무농약	12-3-642	2017-10-12 ~ 2018-10-11	(주)닥터브레인
10049526	0	무농약	12-3-642	2017-10-12 ~ 2018-10-11	(주)닥터브레인
10049542	0	무농약	66-3-1202	2017-10-12 ~ 2018-10-11	(주)닥터브레인
10049540	0	무농약	12-3-642	2017-10-12 ~ 2018-10-11	(주)닥터브레인
10049541	0	무농약	12-3-642	2017-10-12 ~ 2018-10-11	(주)닥터브레인
10049535	0	무농약	12-3-642	2017-10-12 ~ 2018-10-11	(주)닥터브레인
10049534	0	무농약	12-3-642	2017-10-12 ~ 2018-10-11	(주)닥터브레인
10049528	0	무농약	66-3-1202	2017-10-12 ~ 2018-10-11	(주)닥터브레인
10049529	0	무농약	66-3-1202	2017-10-12 ~ 2018-10-11	(주)닥터브레인
10049531	0	무농약	66-3-1202	2017-10-12 ~ 2018-10-11	(주)닥터브레인
10049530	0	무농약	66-3-1202	2017-10-12 ~ 2018-10-11	(주)닥터브레인
10049524	0	무농약	12-3-642	2017-10-12 ~ 2018-10-11	(주)닥터브레인
10049525	0	무농약	12-3-642	2017-10-12 ~ 2018-10-11	(주)닥터브레인
10049539	0	무농약	12-3-642	2017-10-12 ~ 2018-10-11	(주)닥터브레인
10049538	0	무농약	12-3-642	2017-10-12 ~ 2018-10-11	(주)닥터브레인
10049536	0	무농약	12-3-642	2017-10-12 ~ 2018-10-11	(주)닥터브레인
10049537	0	무농약	12-3-642	2017-10-12 ~ 2018-10-11	(주)닥터브레인
10049532	0	무농약	12-3-642	2017-10-12 ~ 2018-10-11	(주)닥터브레인
10049533	0	무농약	12-3-642	2017-10-12 ~ 2018-10-11	(주)닥터브레인
10031207	0	유기가공식품	60-8-94	2018-03-24 ~ 2019-03-23	바비조아
10031304	0	유기가공식품	60-8-94	2018-03-24 ~ 2019-03-23	바비조아
10031208	0	유기가공식품	60-8-94	2018-03-24 ~ 2019-03-23	바비조아
10031303	0	유기가공식품	60-8-94	2018-03-24 ~ 2019-03-23	바비조아
10033376	0	무농약	12-3-642	2017-10-12 ~ 2018-10-11	(주)닥터브레인
10033375	0	무농약	12-3-642	2017-10-12 ~ 2018-10-11	(주)닥터브레인
0	999273	무농약	66-3-1202	2017-10-12 ~ 2018-10-11	(주)닥터브레인
10046303	0	유기농	15-1-195	2017-11-06 ~ 2018-11-05	생명의 망 잇기 협동조합
10045465	0	유기가공식품	93-8-40	2018-04-03 ~ 2019-04-02	생명의 망 잇기 협동조합
10048951	0	유기농	56-1-138	2018-01-26 ~ 2019-01-25	(주)우리가앤
10049611	0	유기농	44-1-120	 2017-06-20 ~ 2018-06-19 	(주)우리가앤
10048339	0	유기농	42-1-161	2017-07-06 ~ 2018-07-05	기능성 기찬배 영농조합
10049748	0	무농약	10-3-361	2018-04-21 ~ 2019-04-20 	뜰안에농원
10049194	0	유기농	87-1-25	2018-01-27 ~ 2019-01-26	영농조합법인 동상면사람들
10032640	0	무농약	 81-3-559	2017-07-11 ~ 2018-07-10	주식회사 산채인 농업회사법인
10032638	0	무농약	81-3-559	2017-07-11 ~ 2018-07-10	주식회사 산채인 농업회사법인
10031344	0	무농약	28-3-873	2017-10-02 ~ 2018-10-01	농업회사법인(주)새뜸원
10033235	0	유기가공식품	93-8-40	2018-04-03 ~ 2019-04-02	생명의 망 잇기 협동조합
10048209	0	유기가공식품	2-8-276	2017-12-17 ~ 2018-12-16	씨튼장애인직업재활센터
10048216	0	유기가공식품	2-8-276	2017-12-17 ~ 2018-12-17	씨튼장애인직업재활센터
10048237	0	유기가공식품	2-8-278	2017-12-17 ~ 2018-12-18	씨튼장애인직업재활센터
10048241	0	유기가공식품	2-8-282	2017-12-17 ~ 2018-12-22	씨튼장애인직업재활센터
10048217	0	유기가공식품	2-8-283	2017-12-17 ~ 2018-12-23	씨튼장애인직업재활센터
10049495	0	무농약	50-3-177	2017-08-17 ~ 2018-08-16	주식회사 유기샘
10049494	0	무농약	1-3-770	2017-09-12 ~ 2018-09-11	주식회사 유기샘
10049092	0	유기농 친환경	12-1-426	2018-03-13 ~ 2019-03-12 	다약정
10049090	0	유기농 친환경	12-1-426	2018-03-13 ~ 2019-03-12 	다약정
10049089	0	유기농 친환경	12-1-426	2018-03-13 ~ 2019-03-12 	다약정
10049094	0	유기농 친환경	12-1-426	2018-03-13 ~ 2019-03-12	다약정
10049093	0	유기농 친환경	12-1-426	2018-03-13 ~ 2019-03-12	다약정
10033245	0	유기가공식품	2-8-161	2018-02-01 ~ 2019-01-31	농업회사법인 주식회사 다온푸드
10033244	0	유기가공식품	2-8-161	 2018-02-01 ~ 2019-01-31 	농업회사법인 주식회사 다온푸드
10033247	0	유기가공식품	2-8-161	 2018-02-01 ~ 2019-01-31 	농업회사법인 주식회사 다온푸드
10033249	0	유기가공식품	2-8-161	 2018-02-01 ~ 2019-01-31 	농업회사법인 주식회사 다온푸드
10049438	0	유기농	44-1-120	 2017-06-20 ~ 2018-06-19 	(주)우리가앤
10049237	0	유기가공식품	78-8-10	 2018-02-23 ~ 2019-02-22 	평화식품
10049238	0	유기가공식품	78-8-10	 2018-02-23 ~ 2019-02-22 	평화식품
10049098	0	유기가공식품	60-8-99	2017-07-17 ~ 2018-07-16	농업회사법인(유)새만금유기농꾸지뽕
10049101	0	유기가공식품	60-8-99	2017-07-17 ~ 2018-07-16	농업회사법인(유)새만금유기농꾸지뽕
0	100290	유기농	32-1-39	2017-06-22 ~ 2018-06-21 	xxxx
10046175	0	유기가공식품	 62-8-9	 2017-12-15 ~ 2018-12-14 	농가먹자
10049226	0	유기가공식품	87-8-81	 2017-10-02 ~ 2018-10-01 	영농조합법인 동상면사람들
10049225	0	유기가공식품	87-8-81	 2017-10-02 ~ 2018-10-01 	영농조합법인 동상면사람들
10049227	0	유기농	87-1-25	 2018-01-27 ~ 2019-01-26 	영농조합법인 동상면사람들
10048340	0	유기농	42-1-161	 2017-07-06 ~ 2018-07-05 	기능성 기찬배 영농조합
10049634	0	무항생제	20-6-29	2017-07-23 ~ 2018-07-22	녹색한우조합공동사업법인
10049633	0	무항생제	20-6-29	2017-07-23 ~ 2018-07-22	녹색한우조합공동사업법인
10049631	0	무항생제	20-6-29	2017-07-23 ~ 2018-07-22	녹색한우조합공동사업법인
10049630	0	무항생제	20-6-29	2017-07-23 ~ 2018-07-22	녹색한우조합공동사업법인
10049629	0	무항생제	20-6-29	2017-07-23 ~ 2018-07-22	녹색한우조합공동사업법인
10049628	0	무항생제	20-6-29	2017-07-23 ~ 2018-07-22	녹색한우조합공동사업법인
10049627	0	무항생제	20-6-29	2017-07-23 ~ 2018-07-22	녹색한우조합공동사업법인
10049626	0	무항생제	20-6-29	2017-07-23 ~ 2018-07-22	녹색한우조합공동사업법인
10049625	0	무항생제	20-6-29	2017-07-23 ~ 2018-07-22	녹색한우조합공동사업법인
10049623	0	무항생제	20-6-29	2017-07-23 ~ 2018-07-22	녹색한우조합공동사업법인
10049621	0	무항생제	20-6-29	2017-07-23 ~ 2018-07-22	녹색한우조합공동사업법인
10049618	0	무항생제	20-6-29	2017-07-23 ~ 2018-07-22	녹색한우조합공동사업법인
